Rocket,Liftoff Mass (t),Final Mass (t),Isp (vacuum),Payload suborbital (t),Payload LEO (or below) (t),Payload GTO (t),Payload GSO (t),Payload TLI (t),Start date,End date,Era,Country,Notes
V2 Rocket,12.5,3.8,235,1.0,,,,,1944,1952,Pioneer,Germany,First long-range guided ballistic missile
R-7 (Vostok 8K72K),281,23.4,313,,4.7,,,,1960,1964,Pioneer,USSR,Launched Sputnik and Yuri Gagarin
Mercury-Redstone,30,6,265,1.8,,,,,1960,1961,Pioneer,USA,First US suborbital human spaceflight
Mercury-Atlas,120,9,305,,1.36,,,,1960,1963,Pioneer,USA,First US orbital human spaceflight
Saturn V,2970,130,421,,140,,,43.5,1967,1973,Moon Race,USA,Apollo moon rocket; most powerful ever flown
N1,2820,90,325,,95,,,33,1969,1972,Moon Race,USSR,Soviet moon rocket; failed on all launches
Space Shuttle,2030,104,452,,27.5,4.9,2.27,,1981,2011,Workhorse,USA,First reusable spacecraft system
Ariane 5 ECA,780,34,432,,20,10,,,1996,2023,Workhorse,Europe,ESA's reliable heavy-lift launcher
Proton-M,713,64,330,,23,6.9,3.25,,2001,,Workhorse,Russia,Long-serving Russian heavy-lift rocket
Soyuz-FG,308,25,330,,7.8,,,,2001,2019,Workhorse,Russia,Reliable crew launcher for the ISS
Long March 5,870,87,440,,25,14,5.1,9.4,2016,,Workhorse,China,China's primary heavy-lift rocket
PSLV,335,40,453,,3.8,1.3,,,1993,,Workhorse,India,India's versatile medium-lift workhorse
Falcon 9 (expendable),549,27.2,348,,22.8,8.3,,4.0,2018,,Modern,USA,Market-leading reusable rocket
Starship (Full Stack),5000,300,378,,150,,,,,,Modern,USA,Next-gen fully-reusable super heavy-lift
SLS,2600,130,452,,130,,,46,2022,,Modern,USA,NASA's super heavy-lift expendable launch vehicle
Ariane 6 (A64),860,44,432,,21.65,11.5,5,8.6,2024,,Modern,Europe,ESA's next-gen heavy-lift launcher
